id,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
item_00,0.17,0.77,0.09,0.02,0.09,0.54,0.49,0.77,0.87,0.01,0.79,0.91,0.19,0.64,0.14,0.2,0.63,0.73,0.78,0.44,0.28,0.18,0.2,0.58,0.15,0.14,0.33,0.75,0.09,0.52
item_01,0.6,0.01,0.84,0.09,0.72,0.95,0.18,0.73,0.59,0.11,0.81,0.81,0.75,0.38,0.43,0.77,0.22,0.14,0.33,0.54,0.7,0.47,0.33,0.35,0.8,0.84,0.68,0.15,0.16,0.28
item_02,0.86,0.91,0.92,0.01,0.37,0.23,0.34,0.44,0.59,0.81,0.43,0.19,0.12,0.17,0.34,0.51,0.58,0.26,0.4,0.48,0.67,0.35,0.26,0.76,0.4,0.9,0.49,0.49,0.14,0.87
item_03,0.28,0.31,0.13,1.0,0.67,0.75,0.68,0.64,0.78,0.3,0.68,0.69,0.48,0.03,0.25,0.09,0.55,0.37,0.75,0.83,0.96,0.31,0.7,0.93,0.09,0.0,0.98,0.76,0.57,0.62
item_04,0.59,0.54,0.05,0.68,0.42,0.37,0.72,0.17,0.76,0.03,0.63,0.57,0.88,0.62,0.61,0.53,0.02,0.14,0.18,0.97,0.79,0.73,0.83,0.74,0.81,0.72,0.23,0.25,0.76,0.87
item_05,0.2,0.52,0.39,0.04,0.04,0.56,0.82,0.79,0.27,0.79,0.73,0.58,0.59,0.27,0.04,0.58,0.92,0.02,0.06,0.17,0.52,0.18,0.43,0.97,0.85,0.43,0.45,0.34,1.0,0.36
item_06,0.92,0.81,0.78,0.97,0.22,0.77,0.35,0.94,0.37,0.56,0.15,0.74,0.04,0.15,0.16,0.28,0.95,0.19,0.22,0.06,0.35,0.71,0.76,0.27,0.69,0.88,0.48,0.81,0.62,0.49
item_07,0.71,0.29,0.38,0.22,0.73,0.71,0.68,0.88,0.52,0.56,0.89,0.68,0.21,0.27,0.15,0.44,0.86,0.74,0.46,0.64,0.49,0.91,0.23,0.38,0.52,0.7,0.6,0.55,0.56,0.75
item_08,0.0,0.25,0.11,0.68,0.13,0.87,0.63,0.89,0.88,0.43,0.72,0.94,0.34,0.86,0.03,0.09,0.28,0.46,0.38,0.7,0.81,0.01,0.24,0.86,0.44,0.86,0.28,0.11,0.25,0.24
item_09,0.49,0.61,0.14,0.78,0.51,0.26,0.89,0.9,0.25,0.3,0.29,0.66,0.58,0.22,0.54,0.52,0.54,0.39,0.86,0.81,0.28,0.63,0.36,0.69,0.53,0.1,0.27,0.18,0.6,0.94
